datetime,open,high,low,close,volume
2026-03-22 19:00:00+00:00,2071.28,2071.7,2060.27,2062.84,4850.629999999994
2026-03-22 19:05:00+00:00,2062.84,2065.78,2062.4,2065.03,3503.9799999999987
2026-03-22 19:10:00+00:00,2065.03,2065.97,2058.34,2060.06,4087.959999999996
2026-03-22 19:15:00+00:00,2060.06,2062.31,2057.97,2060.42,3781.4099999999935
2026-03-22 19:20:00+00:00,2060.42,2061.61,2057.86,2061.01,2800.4699999999943
2026-03-22 19:25:00+00:00,2061.01,2061.29,2058.34,2058.48,1720.4699999999984
2026-03-22 19:30:00+00:00,2058.48,2059.34,2052.99,2059.34,6899.949999999988
2026-03-22 19:35:00+00:00,2059.34,2065.13,2059.1,2065.11,4219.689999999994
2026-03-22 19:40:00+00:00,2065.11,2066.38,2063.86,2064.4,1716.3599999999974
2026-03-22 19:45:00+00:00,2064.4,2065.53,2057.81,2058.28,2398.2899999999963
2026-03-22 19:50:00+00:00,2058.28,2062.76,2058.28,2061.65,1623.7599999999982
2026-03-22 19:55:00+00:00,2061.65,2062.22,2060.91,2061.97,1325.3999999999987
2026-03-22 20:00:00+00:00,2061.97,2067.75,2061.85,2065.98,3469.9599999999914
2026-03-22 20:05:00+00:00,2065.98,2066.45,2063.9,2065.98,1485.7099999999962
2026-03-22 20:10:00+00:00,2065.98,2066.69,2063.97,2066.08,992.0200000000002
2026-03-22 20:15:00+00:00,2066.08,2067.4,2065.5,2067.22,1367.8799999999997
2026-03-22 20:20:00+00:00,2067.22,2070.83,2065.98,2066.76,3644.539999999995
2026-03-22 20:25:00+00:00,2066.76,2066.76,2061.75,2063.39,2931.7899999999945
2026-03-22 20:30:00+00:00,2063.39,2064.49,2062.61,2062.61,1144.989999999999
2026-03-22 20:35:00+00:00,2062.61,2062.77,2058.86,2059.62,2734.1299999999947
2026-03-22 20:40:00+00:00,2059.62,2065.65,2059.62,2064.71,1243.1499999999987
2026-03-22 20:45:00+00:00,2064.71,2064.71,2062.17,2062.97,1291.499999999998
2026-03-22 20:50:00+00:00,2062.97,2063.29,2054.79,2058.72,3966.089999999992
2026-03-22 20:55:00+00:00,2058.72,2059.49,2056.98,2057.53,1445.6799999999985
2026-03-22 21:00:00+00:00,2057.53,2059.52,2052.22,2053.19,2697.9499999999957
2026-03-22 21:05:00+00:00,2053.19,2053.41,2028.0,2045.58,17049.65000000001
2026-03-22 21:10:00+00:00,2045.58,2046.03,2035.12,2038.35,8400.239999999982
2026-03-22 21:15:00+00:00,2038.35,2039.39,2026.58,2027.37,13529.690000000002
2026-03-22 21:20:00+00:00,2027.37,2036.46,2024.41,2036.04,8129.779999999996
2026-03-22 21:25:00+00:00,2036.04,2042.37,2032.47,2040.69,7824.779999999997
2026-03-22 21:30:00+00:00,2040.69,2043.48,2038.68,2039.71,3360.3199999999915
2026-03-22 21:35:00+00:00,2039.71,2047.58,2036.48,2047.09,5457.639999999989
2026-03-22 21:40:00+00:00,2047.09,2047.71,2042.42,2044.06,2773.019999999994
2026-03-22 21:45:00+00:00,2044.06,2044.66,2038.42,2042.42,3277.639999999994
2026-03-22 21:50:00+00:00,2042.42,2046.32,2041.98,2043.66,1395.0199999999995
2026-03-22 21:55:00+00:00,2043.66,2044.93,2040.24,2044.7,1545.019999999999
2026-03-22 22:00:00+00:00,2044.7,2046.59,2031.12,2044.07,10401.949999999986
2026-03-22 22:05:00+00:00,2044.07,2049.83,2041.42,2049.83,6630.609999999983
2026-03-22 22:10:00+00:00,2049.83,2051.48,2038.76,2041.9,8709.530000000004
2026-03-22 22:15:00+00:00,2041.9,2047.8,2040.18,2044.62,5507.47999999999
2026-03-22 22:20:00+00:00,2044.62,2051.97,2042.98,2051.59,4204.07999999999
2026-03-22 22:25:00+00:00,2051.59,2063.9,2050.16,2058.77,10938.04
2026-03-22 22:30:00+00:00,2058.77,2061.97,2056.43,2057.69,4791.649999999992
2026-03-22 22:35:00+00:00,2057.69,2061.9,2055.85,2057.92,4367.60999999999
2026-03-22 22:40:00+00:00,2057.92,2057.94,2052.72,2053.76,3401.789999999995
2026-03-22 22:45:00+00:00,2053.76,2059.82,2053.76,2059.54,2313.669999999996
2026-03-22 22:50:00+00:00,2059.54,2064.78,2058.39,2059.01,3545.889999999993
2026-03-22 22:55:00+00:00,2059.01,2061.71,2058.9,2061.71,1748.2099999999964
2026-03-22 23:00:00+00:00,2061.71,2066.78,2059.26,2064.22,6600.00999999999
2026-03-22 23:05:00+00:00,2064.22,2065.87,2060.91,2063.25,3825.129999999992
2026-03-22 23:10:00+00:00,2063.25,2072.89,2063.17,2068.09,8969.060000000009
2026-03-22 23:15:00+00:00,2068.09,2068.53,2061.52,2062.71,3861.0399999999936
2026-03-22 23:20:00+00:00,2062.71,2063.95,2058.99,2063.58,5171.459999999996
2026-03-22 23:25:00+00:00,2063.58,2063.77,2060.98,2061.28,2906.529999999995
2026-03-22 23:30:00+00:00,2061.28,2064.12,2056.47,2057.97,4324.469999999992
2026-03-22 23:35:00+00:00,2057.97,2060.61,2057.78,2059.62,2394.279999999995
2026-03-22 23:40:00+00:00,2059.62,2061.39,2057.8,2059.49,1431.6999999999975
2026-03-22 23:45:00+00:00,2059.49,2059.97,2053.42,2053.42,3601.0799999999936
2026-03-22 23:50:00+00:00,2053.42,2054.94,2049.73,2051.08,4220.149999999991
2026-03-22 23:55:00+00:00,2051.08,2053.7,2051.02,2053.06,2540.4899999999925
2026-03-23 00:00:00+00:00,2053.06,2058.8,2051.06,2053.05,4140.729999999989
2026-03-23 00:05:00+00:00,2053.05,2058.71,2047.1,2056.03,4540.119999999992
2026-03-23 00:10:00+00:00,2056.03,2062.29,2055.24,2056.36,5629.3899999999885
2026-03-23 00:15:00+00:00,2056.36,2056.97,2050.78,2053.07,4248.219999999993
2026-03-23 00:20:00+00:00,2053.07,2058.35,2051.84,2058.04,4956.659999999991
2026-03-23 00:25:00+00:00,2058.04,2059.04,2052.65,2052.98,2314.7499999999955
2026-03-23 00:30:00+00:00,2052.98,2053.83,2043.95,2045.25,7970.519999999988
2026-03-23 00:35:00+00:00,2045.25,2045.89,2036.18,2039.73,11815.459999999995
2026-03-23 00:40:00+00:00,2039.73,2047.03,2034.78,2044.99,8776.069999999987
2026-03-23 00:45:00+00:00,2044.99,2048.24,2044.79,2047.41,3929.14999999999
2026-03-23 00:50:00+00:00,2047.41,2052.62,2043.09,2044.49,5670.04999999999
2026-03-23 00:55:00+00:00,2044.49,2045.22,2040.72,2042.43,3209.849999999992
2026-03-23 01:00:00+00:00,2042.43,2046.46,2038.42,2043.83,3590.9399999999905
2026-03-23 01:05:00+00:00,2043.83,2055.27,2041.86,2050.58,5376.91999999999
2026-03-23 01:10:00+00:00,2050.58,2050.72,2047.63,2049.83,2865.339999999996
2026-03-23 01:15:00+00:00,2049.83,2057.91,2049.69,2057.91,6521.949999999988
2026-03-23 01:20:00+00:00,2057.91,2061.72,2055.37,2060.77,5680.199999999984
2026-03-23 01:25:00+00:00,2060.77,2061.2,2058.29,2058.6,3008.749999999994
2026-03-23 01:30:00+00:00,2058.6,2061.01,2054.27,2055.52,3459.789999999992
2026-03-23 01:35:00+00:00,2055.52,2059.27,2053.8,2056.35,2776.709999999996
2026-03-23 01:40:00+00:00,2056.35,2056.76,2050.75,2053.86,2123.6499999999974
2026-03-23 01:45:00+00:00,2053.86,2058.25,2048.5,2049.68,3368.069999999999
2026-03-23 01:50:00+00:00,2049.68,2052.68,2047.34,2048.65,4197.939999999993
2026-03-23 01:55:00+00:00,2048.65,2051.04,2046.41,2046.6,1465.8899999999994
2026-03-23 02:00:00+00:00,2046.6,2049.37,2045.53,2047.04,2252.3299999999977
2026-03-23 02:05:00+00:00,2047.04,2054.96,2045.76,2054.68,5506.239999999994
2026-03-23 02:10:00+00:00,2054.68,2057.51,2046.81,2048.34,5347.72000000001
2026-03-23 02:15:00+00:00,2048.34,2051.27,2046.53,2050.62,1961.9399999999964
2026-03-23 02:20:00+00:00,2050.62,2058.66,2049.98,2056.49,6325.669999999998
2026-03-23 02:25:00+00:00,2056.49,2069.28,2055.73,2066.93,14313.780000000012
2026-03-23 02:30:00+00:00,2066.93,2067.47,2062.82,2064.4,5185.869999999988
2026-03-23 02:35:00+00:00,2064.4,2065.73,2060.47,2060.78,2888.149999999994
2026-03-23 02:40:00+00:00,2060.78,2066.71,2059.23,2059.23,2293.8499999999967
