trade_no,side,entry_time,exit_time,entry_price,exit_price,size_usd,margin_used,pnl_usd,pnl_pct,exit_reason
8624,short,2024-03-04 18:15,2024-03-04 18:25,3562.66,3542.303,2.979580096361611e+203,8.334311183822907e+201,1.523757261279343e+201,18.28,take_profit
8625,long,2024-03-04 18:30,2024-03-04 18:50,3554.8,3575.1121,3.4862293857369925e+203,9.751481624675757e+201,1.7828577078658834e+201,18.28,take_profit
8626,long,2024-03-04 18:50,2024-03-04 19:00,3584.63,3590.26,4.079029573602398e+203,1.1409628435876423e+202,3.959083484523794e+200,3.47,signal
8627,short,2024-03-04 19:05,2024-03-04 19:15,3599.32,3591.65,4.210669099462815e+203,1.177784299535456e+202,6.446357837322883e+200,5.47,signal
8628,long,2024-03-04 19:20,2024-03-04 19:30,3595.83,3599.27,4.4250104975538e+203,1.2377386506014772e+202,1.5782405767608557e+200,1.28,signal
8629,short,2024-03-04 19:35,2024-03-04 19:45,3596.6,3594.1,4.477486996731099e+203,1.2524170770856417e+202,4.258131714291015e+199,0.34,signal
8630,long,2024-03-04 19:50,2024-03-04 20:00,3593.3,3595.95,4.4916452846811156e+203,1.2563773524865178e+202,6.175277888115466e+199,0.49,signal
8631,short,2024-03-04 20:20,2024-03-04 20:30,3586.99,3584.39,4.5121780836591e+203,1.2621206696863596e+202,5.633080713719965e+199,0.45,signal
8632,short,2024-03-04 21:00,2024-03-04 21:25,3585.08,3564.5949,4.5309080770322184e+203,1.2673597164041548e+202,2.3171063905942718e+201,18.28,take_profit
8633,long,2024-03-04 21:40,2024-03-04 22:00,3569.08,3589.4737,5.301345951904813e+203,1.4828621962613748e+202,2.711108319804089e+201,18.28,take_profit
8634,short,2024-03-04 22:00,2024-03-04 22:20,3589.44,3568.9299,6.202789468239672e+203,1.735008825544754e+202,3.172106534057802e+201,18.28,take_profit
8635,long,2024-03-04 22:30,2024-03-04 22:40,3572.38,3592.7926,7.257514890813891e+203,2.0300305937448e+202,3.7114931151622395e+201,18.28,take_profit
8636,long,2024-03-04 22:40,2024-03-04 23:00,3597.67,3618.2271,8.491586351605338e+203,2.3752180109204642e+202,4.342597260210939e+201,18.28,take_profit
8637,long,2024-03-04 23:05,2024-03-04 23:15,3635.09,3633.79,9.935499940625475e+203,2.779101269106383e+202,-9.514485696452048e+200,-3.42,signal
8638,long,2024-03-04 23:30,2024-03-04 23:35,3615.38,3636.0383,9.619143291218444e+203,2.6906117948865306e+202,4.919229879129056e+201,18.28,take_profit
8639,short,2024-03-04 23:35,2024-03-05 00:00,3641.35,3628.47,1.1254787226028855e+204,3.1481247697949286e+202,3.3056994738751503e+201,10.5,signal
8640,short,2024-03-05 00:15,2024-03-05 00:30,3633.5,3612.7382,1.2353932301092345e+204,3.455571349362687e+202,6.317800978778568e+201,18.28,take_profit
8641,long,2024-03-05 00:30,2024-03-05 00:40,3611.54,3632.1763,1.4454601126536216e+204,4.0431584293939875e+202,7.39208301611067e+201,18.28,take_profit
8642,short,2024-03-05 00:45,2024-03-05 01:00,3627.89,3621.68,1.6912468729393013e+204,4.73065911030736e+202,1.8802247340003327e+201,3.97,signal
